LAT,LON,YEAR,MO,DY,Humidity,Wind Speed, Sky Insolation on a Horizontal Surface (kW-hr/m^2/day) ,Precipitation mm/day
32.75,-101.25,2020,1,1,3.64,6.84,1.12,0
32.75,-100.75,2020,1,1,3.8,7.01,1.08,0
32.75,-100.25,2020,1,1,3.97,7.1,1.08,0
32.75,-99.75,2020,1,1,4.15,7.01,1.33,0
32.75,-99.25,2020,1,1,4.33,6.73,1.33,0
32.75,-98.75,2020,1,1,4.54,6.36,1.42,0
32.75,-98.25,2020,1,1,4.72,5.85,1.42,0
32.75,-97.75,2020,1,1,4.72,5.61,0.94,0
32.75,-97.25,2020,1,1,4.42,5.37,0.94,0
32.75,-96.75,2020,1,1,4.17,5.32,0.5,0.02
33.25,-101.25,2020,1,1,3.5,7.29,2.78,0
33.25,-100.75,2020,1,1,3.65,7.33,1.6,0
33.25,-100.25,2020,1,1,3.82,7.27,1.6,0
33.25,-99.75,2020,1,1,3.99,7.14,1.24,0
33.25,-99.25,2020,1,1,4.16,6.94,1.24,0
33.25,-98.75,2020,1,1,4.36,6.7,1.2,0
33.25,-98.25,2020,1,1,4.56,6.32,1.2,0
33.25,-97.75,2020,1,1,4.63,6.03,1.19,0
33.25,-97.25,2020,1,1,4.39,5.73,1.19,0
33.25,-96.75,2020,1,1,4.19,5.67,0.87,0.03
33.75,-101.25,2020,1,1,3.3,7.93,2.78,0
33.75,-100.75,2020,1,1,3.49,7.65,1.6,0
33.75,-100.25,2020,1,1,3.67,7.33,1.6,0
33.75,-99.75,2020,1,1,3.84,7.16,1.24,0
33.75,-99.25,2020,1,1,4.02,7.07,1.24,0
33.75,-98.75,2020,1,1,4.19,6.89,1.2,0
33.75,-98.25,2020,1,1,4.39,6.67,1.2,0
33.75,-97.75,2020,1,1,4.49,6.42,1.19,0
33.75,-97.25,2020,1,1,4.34,6.07,1.19,0
33.75,-96.75,2020,1,1,4.23,5.89,0.87,0.03
34.25,-101.25,2020,1,1,3.04,8.26,3.39,0.08
34.25,-100.75,2020,1,1,3.29,7.49,3.21,0.18
34.25,-100.25,2020,1,1,3.5,7,3.21,0.14
34.25,-99.75,2020,1,1,3.7,6.9,2.53,0.05
34.25,-99.25,2020,1,1,3.89,6.98,2.53,0
34.25,-98.75,2020,1,1,4.06,6.96,2.02,0
34.25,-98.25,2020,1,1,4.25,6.92,2.02,0
34.25,-97.75,2020,1,1,4.37,6.79,1.43,0
34.25,-97.25,2020,1,1,4.26,6.51,1.43,0
34.25,-96.75,2020,1,1,4.21,6.25,0.98,0.01
34.75,-101.25,2020,1,1,2.85,7.77,3.39,0.67
34.75,-100.75,2020,1,1,3.09,6.77,3.21,0.99
34.75,-100.25,2020,1,1,3.33,6.4,3.21,0.68
34.75,-99.75,2020,1,1,3.56,6.57,2.53,0.25
34.75,-99.25,2020,1,1,3.78,6.94,2.53,0.01
34.75,-98.75,2020,1,1,3.94,7.16,2.02,0
34.75,-98.25,2020,1,1,4.14,7.37,2.02,0
34.75,-97.75,2020,1,1,4.26,7.49,1.43,0
34.75,-97.25,2020,1,1,4.16,7.36,1.43,0
34.75,-96.75,2020,1,1,4.13,7.16,0.98,0
35.25,-101.25,2020,1,1,2.79,7.08,3.32,1.41
35.25,-100.75,2020,1,1,2.93,6.46,3.29,1.87
35.25,-100.25,2020,1,1,3.14,6.19,3.29,1.22
35.25,-99.75,2020,1,1,3.4,6.49,3.21,0.44
35.25,-99.25,2020,1,1,3.66,7.07,3.21,0.02
35.25,-98.75,2020,1,1,3.85,7.49,3.15,0
35.25,-98.25,2020,1,1,4.05,7.83,3.15,0
35.25,-97.75,2020,1,1,4.17,8.13,2.97,0
35.25,-97.25,2020,1,1,4.09,8.09,2.97,0
35.25,-96.75,2020,1,1,4.09,7.93,2.3,0
35.75,-101.25,2020,1,1,2.84,6.34,3.32,1.03
35.75,-100.75,2020,1,1,2.87,6.15,3.29,1.37
35.75,-100.25,2020,1,1,3,5.98,3.29,0.89
35.75,-99.75,2020,1,1,3.23,6.3,3.21,0.32
35.75,-99.25,2020,1,1,3.53,7.09,3.21,0.02
35.75,-98.75,2020,1,1,3.78,7.71,3.15,0
35.75,-98.25,2020,1,1,3.99,7.93,3.15,0
35.75,-97.75,2020,1,1,4.13,8.16,2.97,0
35.75,-97.25,2020,1,1,4.08,8.12,2.97,0
35.75,-96.75,2020,1,1,4.09,7.98,2.3,0
36.25,-101.25,2020,1,1,2.88,5.35,3.12,0.21
36.25,-100.75,2020,1,1,2.88,5.38,3.13,0.31
36.25,-100.25,2020,1,1,2.96,5.51,3.13,0.21
36.25,-99.75,2020,1,1,3.14,5.83,3.12,0.08
36.25,-99.25,2020,1,1,3.42,6.5,3.12,0
36.25,-98.75,2020,1,1,3.73,7.18,3.06,0
36.25,-98.25,2020,1,1,3.96,7.45,3.06,0
36.25,-97.75,2020,1,1,4.1,7.61,2.99,0
36.25,-97.25,2020,1,1,4.06,7.68,2.99,0
36.25,-96.75,2020,1,1,4.08,7.7,2.95,0
36.75,-101.25,2020,1,1,2.73,4.6,3.12,0
36.75,-100.75,2020,1,1,2.83,4.61,3.13,0
36.75,-100.25,2020,1,1,2.92,4.74,3.13,0
36.75,-99.75,2020,1,1,3.06,4.89,3.12,0
36.75,-99.25,2020,1,1,3.29,5.11,3.12,0
36.75,-98.75,2020,1,1,3.62,5.66,3.06,0
36.75,-98.25,2020,1,1,3.92,6.38,3.06,0
36.75,-97.75,2020,1,1,4.06,6.87,2.99,0
36.75,-97.25,2020,1,1,4.02,7.29,2.99,0
36.75,-96.75,2020,1,1,4.04,7.54,2.95,0
37.25,-101.25,2020,1,1,2.54,4.06,2.98,0
37.25,-100.75,2020,1,1,2.7,3.93,2.97,0
37.25,-100.25,2020,1,1,2.82,3.93,2.97,0
37.25,-99.75,2020,1,1,2.92,4.02,2.98,0
37.25,-99.25,2020,1,1,3.07,4.2,2.98,0
37.25,-98.75,2020,1,1,3.36,4.56,2.95,0
37.25,-98.25,2020,1,1,3.76,5.33,2.95,0
37.25,-97.75,2020,1,1,3.97,6.22,2.92,0
37.25,-97.25,2020,1,1,3.97,6.95,2.92,0
37.25,-96.75,2020,1,1,4.02,7.38,2.89,0.01
32.75,-101.25,2020,1,2,4.23,5.74,2.74,0.04
32.75,-100.75,2020,1,2,4.36,5.91,3.41,0.01
32.75,-100.25,2020,1,2,4.57,5.94,3.41,0
32.75,-99.75,2020,1,2,4.82,5.81,2.66,0
32.75,-99.25,2020,1,2,5.13,5.52,2.66,0
32.75,-98.75,2020,1,2,5.55,5.17,1.3,0
32.75,-98.25,2020,1,2,6.14,4.79,1.3,0
32.75,-97.75,2020,1,2,6.85,4.79,1.26,0
32.75,-97.25,2020,1,2,7.57,5.12,1.26,0.01
32.75,-96.75,2020,1,2,8.11,5.32,0.82,0.07
33.25,-101.25,2020,1,2,3.92,5.03,2.19,0.04
33.25,-100.75,2020,1,2,4.09,5.09,3.37,0.01
33.25,-100.25,2020,1,2,4.33,5.25,3.37,0
33.25,-99.75,2020,1,2,4.62,5.32,3.22,0
33.25,-99.25,2020,1,2,4.95,5.19,3.22,0
33.25,-98.75,2020,1,2,5.37,4.84,1.74,0
33.25,-98.25,2020,1,2,6.04,4.49,1.74,0
33.25,-97.75,2020,1,2,6.77,4.5,1.16,0
33.25,-97.25,2020,1,2,7.46,4.89,1.16,0
33.25,-96.75,2020,1,2,7.97,5.22,0.85,0.02
33.75,-101.25,2020,1,2,3.75,5.74,2.19,0.09
33.75,-100.75,2020,1,2,3.86,5.11,3.37,0.02
33.75,-100.25,2020,1,2,4.11,4.51,3.37,0
33.75,-99.75,2020,1,2,4.41,4.44,3.22,0
33.75,-99.25,2020,1,2,4.76,4.59,3.22,0
33.75,-98.75,2020,1,2,5.17,4.49,1.74,0
33.75,-98.25,2020,1,2,5.83,4.26,1.74,0
33.75,-97.75,2020,1,2,6.56,4.23,1.16,0
33.75,-97.25,2020,1,2,7.24,4.55,1.16,0
33.75,-96.75,2020,1,2,7.76,4.85,0.85,0.01
34.25,-101.25,2020,1,2,3.76,6,1.54,0.13
34.25,-100.75,2020,1,2,3.77,5.42,2.54,0.03
34.25,-100.25,2020,1,2,3.97,4.49,2.54,0
34.25,-99.75,2020,1,2,4.28,3.69,3.19,0
34.25,-99.25,2020,1,2,4.63,3.59,3.19,0
34.25,-98.75,2020,1,2,5,3.88,2.96,0
34.25,-98.25,2020,1,2,5.55,4.01,2.96,0
34.25,-97.75,2020,1,2,6.24,4.14,2.11,0
34.25,-97.25,2020,1,2,6.92,4.33,2.11,0
34.25,-96.75,2020,1,2,7.47,4.36,1.55,0.01
34.75,-101.25,2020,1,2,3.77,5.81,1.54,0.09
34.75,-100.75,2020,1,2,3.73,5.7,2.54,0.02
34.75,-100.25,2020,1,2,3.9,4.98,2.54,0
34.75,-99.75,2020,1,2,4.22,4.01,3.19,0
34.75,-99.25,2020,1,2,4.6,3.29,3.19,0
34.75,-98.75,2020,1,2,4.96,3.38,2.96,0
34.75,-98.25,2020,1,2,5.41,3.61,2.96,0
34.75,-97.75,2020,1,2,5.96,3.97,2.11,0
34.75,-97.25,2020,1,2,6.55,4.27,2.11,0
34.75,-96.75,2020,1,2,7.07,4.22,1.55,0
35.25,-101.25,2020,1,2,3.67,5.42,1.24,0.04
35.25,-100.75,2020,1,2,3.65,5.73,2.14,0.01
35.25,-100.25,2020,1,2,3.82,5.36,2.14,0
35.25,-99.75,2020,1,2,4.13,4.53,2.05,0
35.25,-99.25,2020,1,2,4.53,3.8,2.05,0
35.25,-98.75,2020,1,2,4.93,3.44,2.78,0
35.25,-98.25,2020,1,2,5.39,3.33,2.78,0.01
35.25,-97.75,2020,1,2,5.82,3.64,2.68,0.01
35.25,-97.25,2020,1,2,6.26,4.06,2.68,0.01
35.25,-96.75,2020,1,2,6.67,4.2,2.19,0.01
35.75,-101.25,2020,1,2,3.56,5.17,1.24,0.01
35.75,-100.75,2020,1,2,3.6,5.44,2.14,0
35.75,-100.25,2020,1,2,3.75,5.3,2.14,0
35.75,-99.75,2020,1,2,4.01,4.72,2.05,0
35.75,-99.25,2020,1,2,4.36,4.14,2.05,0
35.75,-98.75,2020,1,2,4.74,3.67,2.78,0
35.75,-98.25,2020,1,2,5.27,3.09,2.78,0.01
35.75,-97.75,2020,1,2,5.72,3.11,2.68,0.04
35.75,-97.25,2020,1,2,6.11,3.48,2.68,0.06
35.75,-96.75,2020,1,2,6.42,3.78,2.19,0.05
36.25,-101.25,2020,1,2,3.5,4.9,2.07,0
36.25,-100.75,2020,1,2,3.61,5.06,2.48,0
36.25,-100.25,2020,1,2,3.75,5,2.48,0
36.25,-99.75,2020,1,2,3.96,4.61,2.2,0
36.25,-99.25,2020,1,2,4.24,4.04,2.2,0
36.25,-98.75,2020,1,2,4.57,3.64,2,0
36.25,-98.25,2020,1,2,5.04,3.04,2,0.04
36.25,-97.75,2020,1,2,5.52,2.81,2.3,0.06
36.25,-97.25,2020,1,2,5.93,2.91,2.3,0.07
36.25,-96.75,2020,1,2,6.18,3.15,2.27,0.08
36.75,-101.25,2020,1,2,3.44,4.58,2.07,0
36.75,-100.75,2020,1,2,3.62,4.72,2.48,0
36.75,-100.25,2020,1,2,3.79,4.72,2.48,0
36.75,-99.75,2020,1,2,3.96,4.51,2.2,0
36.75,-99.25,2020,1,2,4.17,4.08,2.2,0
36.75,-98.75,2020,1,2,4.45,3.6,2,0
36.75,-98.25,2020,1,2,4.83,3.06,2,0.03
36.75,-97.75,2020,1,2,5.25,2.83,2.3,0.02
36.75,-97.25,2020,1,2,5.61,2.84,2.3,0.03
36.75,-96.75,2020,1,2,5.85,2.97,2.27,0.05
37.25,-101.25,2020,1,2,3.37,4.4,2.73,0
37.25,-100.75,2020,1,2,3.58,4.6,2.81,0
37.25,-100.25,2020,1,2,3.78,4.76,2.81,0
37.25,-99.75,2020,1,2,3.95,4.78,2.74,0
37.25,-99.25,2020,1,2,4.1,4.59,2.74,0
37.25,-98.75,2020,1,2,4.27,4.22,2.28,0
37.25,-98.25,2020,1,2,4.64,3.39,2.28,0.01
37.25,-97.75,2020,1,2,4.95,2.98,1.61,0.01
37.25,-97.25,2020,1,2,5.23,2.94,1.61,0.01
37.25,-96.75,2020,1,2,5.46,3.07,1.78,0.02
32.75,-101.25,2020,1,3,3.77,4.71,3.53,0.09
32.75,-100.75,2020,1,3,3.75,4.99,3.28,0.03
32.75,-100.25,2020,1,3,3.79,5.23,3.28,0.01
32.75,-99.75,2020,1,3,3.87,5.43,3.05,0.01
32.75,-99.25,2020,1,3,3.98,5.58,3.05,0
32.75,-98.75,2020,1,3,4.13,5.7,2.64,0
32.75,-98.25,2020,1,3,4.38,5.77,2.64,0
32.75,-97.75,2020,1,3,4.63,5.74,2.65,0
32.75,-97.25,2020,1,3,5.06,5.6,2.65,0
32.75,-96.75,2020,1,3,5.49,5.39,3.04,0
33.25,-101.25,2020,1,3,3.61,4.72,3.52,0.04
33.25,-100.75,2020,1,3,3.6,4.95,3.44,0.01
33.25,-100.25,2020,1,3,3.66,5.14,3.44,0.01
33.25,-99.75,2020,1,3,3.76,5.32,3.29,0
33.25,-99.25,2020,1,3,3.91,5.47,3.29,0
33.25,-98.75,2020,1,3,4.08,5.58,3.2,0
