,City,Lat,Lng,Country,Temp,Humidity,Cloudiness,Wind,Altitude (m)
0,Barrow,71.2906,-156.7887,US,-22.0,71,1,7.2,3.04800009727478
1,Palmer,42.1584,-72.3287,US,10.0,32,20,2.57,105.5235977172852
2,Laramie,41.3114,-105.5911,US,-1.0,80,90,2.57,2184.66650390625
3,Jamestown,42.097,-79.2353,US,12.0,16,1,3.04,419.8653869628906
4,Saint Paul Harbor,57.79,-152.4072,US,6.0,56,1,5.66,14.06569766998291
5,Willmar,45.1219,-95.0433,US,8.0,76,1,5.14,349.5888366699219
6,Mitchell,43.7094,-98.0298,US,9.0,57,1,3.6,399.9039306640625
7,Kapaa,22.0752,-159.319,US,24.0,64,1,8.75,5.699976921081543
8,Bethel,41.3712,-73.414,US,8.0,42,1,0.88,115.9430923461914
9,Nantucket,41.2835,-70.0995,US,4.44,100,1,2.57,5.476116180419922
10,Albany,42.6001,-73.9662,US,7.78,31,0,0.94,222.8462219238281
11,La Crosse,43.8014,-91.2396,US,16.0,39,1,5.66,203.6095123291016
12,Hilo,19.7297,-155.09,US,25.0,61,90,7.2,19.04518890380859
13,Broome,42.2506,-75.833,US,11.0,19,1,2.06,289.4069213867188
14,Coos Bay,43.3665,-124.2179,US,9.0,66,90,4.63,4.138150215148926
15,Pacific Grove,36.6177,-121.9166,US,12.22,83,0,2.68,47.42416381835938
16,Golden,39.7555,-105.2211,US,1.11,91,100,1.34,1729.305419921875
17,Saint Anthony,45.0205,-93.21799999999999,US,15.0,54,90,3.6,280.892333984375
18,Avera,33.194,-82.5271,US,15.0,63,90,2.57,137.9201202392578
19,Saint George,37.1041,-113.5841,US,13.0,18,20,6.69,821.9684448242188
20,Makakilo City,21.3469,-158.0858,US,27.0,41,20,7.72,130.6714324951172
21,Sitka,57.0531,-135.33,US,5.0,87,90,6.69,8.463555335998535
22,Laguna,38.421,-121.4238,US,19.44,19,1,4.12,9.368178367614746
23,Payson,40.0444,-111.7321,US,3.0,60,75,7.2,1420.059936523438
24,Kenai,60.5544,-151.2583,US,-2.0,33,1,3.09,26.11971092224121
25,Nome,64.5011,-165.4064,US,-7.78,73,90,2.06,11.17263507843018
26,Stillwater,36.1156,-97.0584,US,18.0,39,1,7.72,273.3927307128906
27,Mayo,38.8876,-76.5119,US,9.44,49,1,2.06,3.946774005889893
28,Kahului,20.8947,-156.47,US,26.0,53,40,13.38,-2.071890354156494
29,Elmira,42.0898,-76.8077,US,4.0,48,1,1.46,261.7170715332031
30,Fortuna,40.5982,-124.1573,US,10.0,71,40,6.17,21.67096710205078
31,Rome,43.2128,-75.4557,US,3.33,52,1,2.41,137.2578887939453
32,Ozark,37.0209,-93.206,US,15.0,29,40,5.14,356.5668029785156
33,Hamilton,39.1834,-84.5333,US,13.0,50,1,2.33,207.2953643798828
34,Amberley,39.2048,-84.428,US,12.22,50,1,2.6,244.9996795654297
35,Russell,32.3502,-85.1999,US,17.0,55,90,2.94,148.767578125
36,Altoona,40.5187,-78.3947,US,6.0,39,1,2.57,354.5522155761719
37,Madera,37.1666,-119.8343,US,18.0,36,1,2.57,241.4327850341797
38,Clarksburg,39.2807,-80.3445,US,14.0,17,1,3.6,303.1678161621094
39,Lexington,37.9887,-84.4777,US,12.0,54,1,2.57,298.1593627929688
40,Ketchikan,55.3422,-131.6461,US,4.0,100,90,5.14,6.0755615234375
41,Eureka,40.8021,-124.1637,US,10.56,63,100,4.02,14.11656093597412
42,Portland,45.5234,-122.6762,US,8.0,76,90,4.12,9.992050170898438
43,‘Āhuimanu,21.4447,-157.8378,US,26.0,57,75,8.23,25.37753105163574
