City,Lat,Lng,Country,Temp,Humidity,Cloudiness,Wind,Altitude (m),state_id,state_name,timezone
Palmer,42.1584,-72.3287,US,10.0,32,20,2.57,105.5235977,MA,Massachusetts,EST
Laramie,41.3114,-105.5911,US,-1.0,80,90,2.57,2184.666504,WY,Wyoming,MST
Jamestown,42.097,-79.2353,US,12.0,16,1,3.04,419.865387,NY,New York,EST
Willmar,45.1219,-95.0433,US,8.0,76,1,5.14,349.5888367,MN,Minnesota,CST
Mitchell,43.7094,-98.0298,US,9.0,57,1,3.6,399.9039307,SD,South Dakota,CST
Kapaa,22.0752,-159.319,US,24.0,64,1,8.75,5.699976921,HI,Hawaii,HST
Bethel,41.3712,-73.414,US,8.0,42,1,0.88,115.94309229999999,AK,Alaska,AKST
Albany,42.6001,-73.9662,US,7.78,31,0,0.94,222.84622190000002,NY,New York,EST
La Crosse,43.8014,-91.2396,US,16.0,39,1,5.66,203.6095123,WI,Wisconsin,CST
Hilo,19.7297,-155.09,US,25.0,61,90,7.2,19.0451889,HI,Hawaii,HST
Coos Bay,43.3665,-124.2179,US,9.0,66,90,4.63,4.138150215,OR,Oregon,PST
Pacific Grove,36.6177,-121.9166,US,12.22,83,0,2.68,47.42416382,CA,California,PST
Golden,39.7555,-105.2211,US,1.11,91,100,1.34,1729.30542,CO,Colorado,MST
Avera,33.194,-82.5271,US,15.0,63,90,2.57,137.92012019999999,GA,Georgia,EST
Sitka,57.0531,-135.33,US,5.0,87,90,6.69,8.463555336,AK,Alaska,AKST
Laguna,38.421,-121.4238,US,19.44,19,1,4.12,9.368178367999999,NM,New Mexico,MST
Payson,40.0444,-111.7321,US,3.0,60,75,7.2,1420.059937,UT,Utah,MST
Kenai,60.5544,-151.2583,US,-2.0,33,1,3.09,26.11971092,AK,Alaska,AKST
Nome,64.5011,-165.4064,US,-7.78,73,90,2.06,11.17263508,AK,Alaska,AKST
Stillwater,36.1156,-97.0584,US,18.0,39,1,7.72,273.3927307,OK,Oklahoma,CST
Mayo,38.8876,-76.5119,US,9.44,49,1,2.06,3.946774006,MD,Maryland,EST
Kahului,20.8947,-156.47,US,26.0,53,40,13.38,2.071890354,HI,Hawaii,HST
Elmira,42.0898,-76.8077,US,4.0,48,1,1.46,261.7170715,NY,New York,EST
Fortuna,40.5982,-124.1573,US,10.0,71,40,6.17,21.6709671,CA,California,PST
Rome,43.2128,-75.4557,US,3.33,52,1,2.41,137.25788880000002,GA,Georgia,EST
Ozark,37.0209,-93.206,US,15.0,29,40,5.14,356.566803,MO,Missouri,CST
Hamilton,39.1834,-84.5333,US,13.0,50,1,2.33,207.2953644,OH,Ohio,EST
Amberley,39.2048,-84.428,US,12.22,50,1,2.6,244.9996796,OH,Ohio,EST
Russell,32.3502,-85.1999,US,17.0,55,90,2.94,148.7675781,KS,Kansas,CST
Altoona,40.5187,-78.3947,US,6.0,39,1,2.57,354.55221560000007,PA,Pennsylvania,EST
Madera,37.1666,-119.8343,US,18.0,36,1,2.57,241.432785,CA,California,PST
Clarksburg,39.2807,-80.3445,US,14.0,17,1,3.6,303.1678162,WV,West Virginia,EST
Lexington,37.9887,-84.4777,US,12.0,54,1,2.57,298.1593628,KY,Kentucky,EST
Ketchikan,55.3422,-131.6461,US,4.0,100,90,5.14,6.075561522999999,AK,Alaska,AKST
Eureka,40.8021,-124.1637,US,10.56,63,100,4.02,14.11656094,CA,California,PST
Portland,45.5234,-122.6762,US,8.0,76,90,4.12,9.992050171,OR,Oregon,PST
Fairbanks,64.8378,-147.7164,US,-5.0,33,1,0.51,135.61964419999998,AK,Alaska,AKST
College,64.8569,-147.8028,US,-5.0,33,1,0.44,133.3073273,AK,Alaska,AKST
Lincoln,40.8,-96.667,US,16.0,48,90,3.6,366.3533936,NE,Nebraska,CST
Bourbonnais,41.1417,-87.875,US,10.56,57,1,2.06,197.0927887,IL,Illinois,CST
Virginia,37.5481,-77.4467,US,10.0,40,1,3.6,53.85951996,MN,Minnesota,CST
Lompoc,34.6391,-120.4579,US,13.0,67,1,7.2,31.59502602,CA,California,PST
Bellefontaine,40.3612,-83.7597,US,11.11,64,6,0.89,378.92099,OH,Ohio,EST
New Iberia,30.0035,-91.8187,US,17.0,63,40,1.54,5.348089218,LA,Louisiana,CST
Bud,39.446999999999996,-86.1758,US,10.0,44,96,3.34,253.1269531,WV,West Virginia,EST
North Bend,43.4065,-124.2243,US,9.0,66,90,4.63,13.17039871,OR,Oregon,PST
Lahaina,20.8783,-156.6825,US,26.0,53,40,13.38,0.689998984,HI,Hawaii,HST
Catalina Foothills,32.2979,-110.9187,US,22.22,10,6,3.58,785.0540161,AZ,Arizona,MST
Westport,41.1415,-73.3579,US,7.78,75,1,1.54,4.839327812,NC,North Carolina,EST
San Patricio,28.017,-97.5169,US,19.0,63,75,7.72,15.67586613,TX,Texas,CST
Austin,30.2672,-97.7431,US,21.0,37,1,4.63,149.1038666,TX,Texas,CST
Abilene,32.4487,-99.7331,US,21.0,40,1,5.66,521.3797607,TX,Texas,CST
Jerome,42.7241,-114.5186,US,7.0,36,1,5.66,1147.367554,ID,Idaho,MST
