City,MPH,KPH
"Atlanta, Georgia",9.1,14.6
"Austin, Texas",8.5,13.7
"Baltimore, Maryland",8.7,14
"Birmingham, Alabama",7.1,11.4
"Boston, Massachusetts",12.3,19.8
"Buffalo, New York",11.8,19
"Charlotte, North Carolina",7.4,11.9
"Chicago, Illinois",10.3,16.6
"Cincinnati, Ohio",9,14.5
"Cleveland, Ohio",10.5,16.9
"Columbus, Ohio",8.3,13.4
"Dallas, Texas",10.7,17.2
"Denver, Colorado",8.7,14
"Detroit, Michigan",10.2,16.4
"Hartford, Connecticut",8.4,13.5
"Houston, Texas",7.6,12.2
"Indianapolis, Indiana",9.6,15.4
"Jacksonville, Florida",7.8,12.6
"Kansas City, Missouri",10.6,17.1
"Las Vegas, Nevada",9.1,14.6
"Los Angeles, California",7.5,12.1
"Louisville, Kentucky",8.3,13.4
"Memphis, Tennessee",8.8,14.2
"Miami, Florida",9.2,14.8
"Milwaukee, Wisconsin",11.5,18.5
"Minneapolis, Minnesota",10.5,16.9
"Nashville, Tennessee",8,12.9
"New Orleans, Louisiana",8.2,13.2
"New York, New York",9.1,14.6
"Oklahoma City, Oklahoma",12.2,19.6
"Orlando, Florida",8.6,13.8
"Philadelphia, Pennsylvania",9.5,15.3
"Phoenix, Arizona",6.2,10
"Pittsburgh, Pennsylvania",9,14.5
"Portland, Oregon",7.9,12.7
"Providence, Rhode Island",10.4,16.7
"Raleigh, North Carolina",7.5,12.1
"Richmond, Virginia",7.7,12.4
"Rochester, New York",9.7,15.6
"Sacramento, California",7.8,12.6
"Salt Lake City, Utah",8.8,14.2
"San Antonio, Texas",9.1,14.6
"San Diego, California",7,11.3
"San Francisco, California",10.6,17.1
"Seattle, Washington",8.8,14.2
"St. Louis, Missouri",9.6,15.4
"Tampa, Florida",8.3,13.4
"Virginia Beach, Virginia",10.5,16.9
"Washington, DC",9.4,15.1
