State,% Sun,Total Hours,Clear Days
Alabama,58,2641,99
Alaska,41,2061,61
Arizona,85,3806,193
Arkansas,61,2771,123
California,68,3055,146
Colorado,71,3204,136
Connecticut,56,2585,82
Delaware,Nan,2639,97
Florida,66,2927,101
Georgia,66,2986,112
Hawaii,71,3172,90
Idaho,64,2993,120
Illinois,56,2567,95
Indiana,55,2440,88
Iowa,59,2691,105
Kansas,65,2922,128
Kentucky,56,2514,93
Louisiana,57,2649,101
Maine,57,2513,101
Maryland,57,2582,105
Massachusetts,58,2634,98
Michigan,51,2392,71
Minnesota,58,2711,95
Mississippi,61,2720,111
Missouri,60,2690,115
Montana,59,2698,82
Nebraska,61,2762,117
Nevada,79,3646,158
New Hampshire,54,2519,90
New Jersey,56,2499,94
New Mexico,76,3415,167
New York,46,2120,63
North Carolina,60,2651,109
North Dakota,59,2738,93
Ohio,50,2183,72
Oklahoma,68,3089,139
Oregon,48,2341,68
Pennsylvania,58,2614,87
Rhode Island,58,2606,98
South Carolina,64,2826,115
South Dakota,63,2947,104
Tennessee,56,2510,102
Texas,61,2850,135
Utah,66,3029,125
Vermont,49,2295,58
Virginia,63,2829,100
Washington,47,2170,58
West Virginia,Nan,2184,60
Wisconsin,54,2428,89
Wyoming,68,3073,114
