"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012839","1948","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2449.2","","    2449.2","0","       142","0","        94","0","        20","0","        0","","         0","0","         0","0","         0","0","         0","0","       358","0","        72","0","        33"," ","","","        68"," ","    1.1","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 252.7"," ,0,1005, ","   33.9","0,0911,+","","","","","","","","","   2002.2"," ,0","","","        0"," ,0","     24.89","0","     29.15","0","     20.63","0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2292.2","","    2292.2","0","       133","0","        88","0","        19","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","        59","0","        25"," ","","","        72"," ","    3.9","0,0102, ","     0"," ,0,1231,+","     0","T,0,0531,+"," 179.6"," ,0,0320, ","   35.0","0,0909, ","","","","","      23.7","7","      23.7","0","   1579.6"," ,0","","","        0","T,0","     24.51","0","     28.82","0","     20.20","0","","","","","","","","","","","","","","","","","",""
"USW00012839","1950","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2165.7","","    2165.7","0","       123","0","        70","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       353","0","        51","0","        25"," ","","","        61"," ","    3.9","0,1126, ","     0"," ,0,1231,+","     0","T,0,0531, ","  88.6"," ,0,1014, ","   34.4","0,0731, ","","","","","      47.8","8","      47.8","0","   1257.2"," ,0","","","        0","T,0","     23.98","0","     28.39","0","     19.57","0","","","","","","","","","        23","X","","","","","","","      55.9","X"
"USW00012839","1951","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2196.1","","    2196.1","0","       100","0","        62","0","         9","0","        0","","         0","0","         0","0","         0","0","         0","0","       351","0","       102","0","        36"," ","","","        64"," ","    2.2","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,1001, ","   35.0","0,0830, ","","","","","     148.3","3","     148.3","0","    983.0"," ,0","","","        0"," ,0","     24.03","0","     28.61","0","     19.45","0","","","","","","","","","       203","X","","","","","","","      30.4","X"
"USW00012839","1952","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2349.3","","    2349.3","0","       112","0","        65","0","        10","0","        0","","         0","0","         0","0","         0","0","         0","0","       358","0","        96","0","        37"," ","","","        63"," ","    5.6","0,1216, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 200.2"," ,0,1027, ","   35.6","0,0701, ","","","","","      63.4","4","      63.4","0","   1243.7"," ,0","","","        0"," ,0","     24.53","0","     28.96","0","     20.10","0","","","","","","","","","       135","X","","","","","","","      23.7","X"
"USW00012839","1953","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2382.2","","    2382.2","0","       133","0","        88","0","        28","0","        0","","         0","0","         0","0","         0","0","         0","0","       354","0","        74","0","        42"," ","","","        78"," ","    6.7","0,1217, ","     0"," ,0,1231,+","     0","T,0,0520,+","  75.4"," ,0,0805, ","   34.4","0,0813,+","","","","","      65.4","4","      65.4","0","   1655.1"," ,0","","","        0","T,0","     24.66","0","     28.67","0","     20.64","0","","","","","","","","","       270","X","","","","","","","      25.9","X"
"USW00012839","1954","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2226.3","","    2226.3","0","       132","0","        85","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       355","0","        74","0","        28"," ","","","        80"," ","    5.0","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 105.4"," ,0,1112, ","   36.7","0,0806, ","","","","","      83.1","1","      83.1","0","   1581.8"," ,0","","","        0"," ,0","     24.16","0","     28.45","0","     19.86","0","","","","","","","","","       248","X","","","","","","","      21.0","X"
"USW00012839","1955","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2163.5","","    2163.5","0","       120","0","        69","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       357","0","        48","0","        40"," ","","","        60"," ","    4.4","0,0213,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.5"," ,0,0611, ","   35.6","0,0810, ","","","","","     115.0","0","     115.0","0","   1051.1"," ,0","","","        0"," ,0","     24.02","0","     28.51","0","     19.53","0","","","","","","","","","       248","X","","","","","","","      22.6","X"
"USW00012839","1956","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2218.2","","    2218.2","0","       108","0","        58","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       352","0","        67","0","        26"," ","","","        67"," ","    3.9","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.9"," ,0,0905, ","   36.1","0,0815,+","","","","","     109.3","3","     109.3","0","    941.8"," ,0","","","        0"," ,0","     23.99","0","     28.47","0","     19.52","0","","","","","","","","","       203","X","","","","","","","      35.0","X"
"USW00012839","1957","25.7881","-80.3169","8.8","MIAMI INTERNATIONAL AIRPORT, FL US","","","   2273.0","","    2273.0","0","       143","0","        93","0","        24","0","        0","","         0","0","         0","0","         0","0","         0","0","       357","0","        34","0","        43"," ","","","       107"," ","    1.7","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 178.3"," ,0,0501, ","   34.4","0,0610, ","","","","","      69.9","9","      69.9","0","   1800.4"," ,0","","","        0"," ,0","     24.38","0","     28.51","0","     20.25","0","","","","","","","","","       225","X","","","","","","","      23.1","X"
