-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M,WS10M_RANGE,WS10M,ALLSKY_SFC_SW_DWN,PRECTOT,KT,CLRSKY_SFC_SW_DWN
32.75,-101.25,2020,01,01,    3.64,    4.59,    6.84,              1.12,    0.00,              0.22,-999
32.75,-100.75,2020,01,01,    3.80,    4.60,    7.01,              1.08,    0.00,              0.21,-999
32.75,-100.25,2020,01,01,    3.97,    4.87,    7.10,              1.08,    0.00,              0.21,-999
32.75,-99.75,2020,01,01,    4.15,    4.95,    7.01,              1.33,    0.00,              0.26,-999
32.75,-99.25,2020,01,01,    4.33,    4.79,    6.73,              1.33,    0.00,              0.26,-999
32.75,-98.75,2020,01,01,    4.54,    4.69,    6.36,              1.42,    0.00,              0.28,-999
32.75,-98.25,2020,01,01,    4.72,    4.24,    5.85,              1.42,    0.00,              0.28,-999
32.75,-97.75,2020,01,01,    4.72,    3.79,    5.61,              0.94,    0.00,              0.18,-999
32.75,-97.25,2020,01,01,    4.42,    3.55,    5.37,              0.94,    0.00,              0.18,-999
32.75,-96.75,2020,01,01,    4.17,    3.48,    5.32,              0.50,    0.02,              0.10,-999
33.25,-101.25,2020,01,01,    3.50,    4.93,    7.29,              2.78,    0.00,              0.56,              3.56
33.25,-100.75,2020,01,01,    3.65,    4.50,    7.33,              1.60,    0.00,              0.32,              3.50
33.25,-100.25,2020,01,01,    3.82,    4.49,    7.27,              1.60,    0.00,              0.32,              3.50
33.25,-99.75,2020,01,01,    3.99,    4.73,    7.14,              1.24,    0.00,              0.25,-999
33.25,-99.25,2020,01,01,    4.16,    4.86,    6.94,              1.24,    0.00,              0.25,-999
33.25,-98.75,2020,01,01,    4.36,    4.80,    6.70,              1.20,    0.00,              0.24,-999
33.25,-98.25,2020,01,01,    4.56,    4.30,    6.32,              1.20,    0.00,              0.24,-999
33.25,-97.75,2020,01,01,    4.63,    3.96,    6.03,              1.19,    0.00,              0.24,-999
33.25,-97.25,2020,01,01,    4.39,    3.69,    5.73,              1.19,    0.00,              0.24,-999
